,Unnamed: 0,0
0,CalmElk,34
1,Impossible-asset,31
2,notadaddy,21
3,TigPlaze,19
4,DonMelbourne,15
5,DangZagnut,15
6,SullenBol,15
7,AliBarakat,14
8,raja-ulat,14
9,throwawayapparently9,11
10,MajinYUU,11
11,truespirit89,10
12,potatorockstar,10
13,Platinum247365,10
14,POPPOPCAP93,10
