,Unnamed: 0,0
0,DontDoxxMe_Bro,57
1,throwaway275445,53
2,ns_for_work,41
3,LesbianPrincess-,39
4,fedram,36
5,scienceisarealthing,32
6,jetpatch,32
7,Tangleofsnakes,23
8,DifferentAirGC,19
9,SamEsme,12
10,TyrannosaurusTERF,12
11,daughter_of_bilitis,12
12,heidischallenge,12
13,RadFem4u,11
14,devgril,10
