,Unnamed: 0,0
0,BenderRodriguez9,65
1,Chunkeeguy,37
2,throwaway275445,37
3,Lookismer,29
4,Average-Guy-UK,29
5,mylegismissing,26
6,GenderCriticalDad,22
7,RosiesCity,21
8,BCSmith1971,20
9,BenLewisWaddington,18
10,Ikilledyvette,18
11,throwaway_sfr1986,17
12,throwawaythisplease-,15
13,Thatlikesomething,15
14,GayGNC,15
